Index,NPC Name,HP,Attack,Defense,Magic Defense,Evade,Hit,Aggresion Range,Aggresion Chance Code,Aggresion Chance (%),Unique Trait Flags,Unique Trait Flags Desc,Attack Properties,Attack Properties Desc,Experience,Money,Chanze Prize Drop Code,Chanze Prize Drop (%),Chargeup limit,Chargeup gain per frame,Unknown maybe collision related,Palette,Death Script - NoSpoils,Death Script - Spoils,Block Script,[PTR] NPC Stats,[PTR] NPC Name
53,"Flatterschädel",90,47,80,-63,0,60,80,0x0032,19.5313,0,"NONE",0,"Normal",400,50,0x08,6.2500,1024,14,14,0xBD10,0x448E,0x449E,0x0000,0xCED488,0xC515E5
54,"Knochenviper",50,18,32,0,15,50,70,0x0004,1.5625,3,"(FLAG01_TARSKULL_SALABOG)+ (FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",22,17,0x00,0.0000,1024,10,8,0xB4D0,0x4486,0x0000,0x0000,0xCED4D2,0xC5160E
55,"Sumpfmonster",2000,32,80,32,9,100,90,0x0003,1.1719,3,"(FLAG01_TARSKULL_SALABOG)+ (FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",700,66,0x00,0.0000,1024,20,30,0xB470,0x4486,0x0000,0x0000,0xCED51C,0xC5161B
56,"Höllenrose",10000,2125,2400,63,0,100,96,0x0100,100.0000,0,"NONE",12,"If hits, don't do normal damage, but grab and do a few rounds of periodic damage",600,100,0x08,6.2500,1024,100,14,0xBCB0,0x4492,0x449A,0x0000,0xCED566,0xC5198E
57,"Grabschtulpe",30,17,48,32,0,60,70,0x0005,1.9531,0,"NONE",12,"If hits, don't do normal damage, but grab and do a few rounds of periodic damage",6,7,0x08,6.2500,1024,5,14,0xB1D0,0x4492,0x449A,0x0000,0xCED5B0,0xC51628
58,"Fummelprimel",18,9,28,32,0,40,70,0x0005,1.9531,0,"NONE",0,"Normal",2,2,0x08,6.2500,1024,15,14,0xB1B0,0x4492,0x449A,0x0000,0xCED5FA,0xC51635
59,"Raptor",40,11,32,38,15,100,60,0x003C,23.4375,0,"NONE",0,"Normal",16,29,0x00,0.0000,1024,20,20,0xB370,0x4486,0x449E,0x0000,0xCED644,0xC51642
60,"Feuermade",150,88,12,16,15,50,32,0x0014,7.8125,0,"NONE",0,"Normal",85,10,0x08,6.2500,1024,10,12,0xB770,0x448A,0x44A6,0x0000,0xCED68E,0xC51652
61,"Lavawurm",30,12,12,16,10,60,32,0x0014,7.8125,0,"NONE",0,"Normal",4,4,0x08,6.2500,1024,10,12,0xB310,0x448A,0x44A6,0x0000,0xCED6D8,0xC51649
62,"Moskito",1,2,0,0,30,60,20,0x0028,15.6250,0,"NONE",14,"Don't attempt attack if Insect Incense possessed",1,1,0x04,3.1250,1024,10,6,0xB350,0x448E,0x44A6,0x0000,0xCED722,0xC5165C
63,"Moskito",1,175,0,0,30,60,20,0x0028,15.6250,0,"NONE",14,"Don't attempt attack if Insect Incense possessed",1,1,0x04,3.1250,1024,10,6,0xBC10,0x448E,0x44A6,0x0000,0xCED76C,0xC5165C
64,"Lakosius",5000,0,160,13,0,25,0,0x0000,0.0000,0,"NONE",0,"Normal",8000,0,0x00,0.0000,1024,8,32,0x0000,0x44BE,0x0000,0x0000,0xCED7B6,0xC51977
65,"Faustus",500,78,100,0,10,60,50,0x0040,25.0000,0,"NONE",0,"Normal",1000,250,0x00,0.0000,2048,20,20,0xAF70,0x4486,0x0000,0x0000,0xCED800,0xC51966
66,"Mephista",500,78,0,0,10,60,50,0x0040,25.0000,0,"NONE",0,"Normal",1000,250,0x00,0.0000,3072,20,20,0xAF90,0x4486,0x0000,0x0000,0xCED84A,0xC5196E
67,"Vulgors Herzkammer",600,0,0,0,0,0,150,0x0014,7.8125,0,"NONE",0,"Normal",500,750,0x00,0.0000,1024,10,15,0xB190,0x448E,0x0000,0x0000,0xCED894,0xC51694
68,"Gorvuls Herzkammer",6000,0,0,0,0,0,150,0x0014,7.8125,0,"NONE",0,"Normal",10000,4000,0x00,0.0000,1024,10,15,0xB190,0x448E,0x0000,0x0000,0xCED8DE,0xC516A7
69,"Rechte Klaue",2250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",4166,400,0x00,0.0000,1024,30,24,0xB170,0x448A,0x0000,0x0000,0xCED928,0xC5167B
70,"Linke Klaue",2500,175,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",4166,400,0x00,0.0000,1024,30,24,0xB170,0x448A,0x0000,0x0000,0xCED972,0xC51688
71,"Rechte Klaue",250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",250,150,0x00,0.0000,1024,30,24,0xB150,0x448A,0x0000,0x0000,0xCED9BC,0xC5167B
72,"Linke Klaue",250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",250,150,0x00,0.0000,1024,30,24,0xB150,0x448A,0x0000,0x0000,0xCEDA06,0xC51688
73,"Fratzenwand",4000,0,800,0,0,2000,0,0x0000,0.0000,0,"NONE",0,"Normal",4000,2000,0x00,0.0000,1024,10,5,0x0000,0x4486,0x0000,0x0000,0xCEDA50,0xC51923
74,"Glutdrache",300,55,160,0,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",150,60,0x08,6.2500,1024,8,10,0xBCD0,0x4486,0x44A2,0x0000,0xCEDA9A,0xC51999
75,"Arsendrache",300,88,160,0,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",150,60,0x08,6.2500,1024,8,10,0xBCD0,0x4486,0x44A2,0x0000,0xCEDAE4,0xC519A4
76,"Kreiselkiller",700,101,300,48,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",300,10,0x00,0.0000,1024,8,8,0xBC50,0x4486,0x0000,0x0000,0xCEDB2E,0xC51980
77,"Radarmine",1000,101,80,64,15,50,200,0x0100,100.0000,0,"NONE",0,"Normal",70,10,0x80,100.0000,1024,20,8,0xC6B0,0x4486,0x5AF6,0x0000,0xCEDB78,0xC5195C
78,"Ventilator",2500,0,1400,57,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,16,0x0000,0x4486,0x0000,0x0000,0xCEDBC2,0xC5192F
79,"Lautsprecher",1004,0,1400,57,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,16,0x0000,0x4486,0x0000,0x0000,0xCEDC0C,0xC5193A
80,"Ratte",20,35,120,38,0,25,55,0x0032,19.5313,0,"NONE",0,"Normal",30,10,0x08,6.2500,1024,8,10,0xBD70,0x448E,0x44A6,0x0000,0xCEDC56,0xC51782
81,"Reinigungsroboter",600,85,160,57,7,25,55,0x0032,19.5313,0,"NONE",0,"Normal",50,280,0x08,6.2500,1024,8,10,0xB770,0x4486,0x44A2,0x0000,0xCEDCA0,0xC517F7
82,"Tentakel",400,105,280,12,10,40,100,0x0014,7.8125,0,"NONE",0,"Normal",500,0,0x00,0.0000,1024,8,10,0xB6B0,0x448A,0x0000,0x0000,0xCEDCEA,0xC5176C
83,"Minitentakel",200,85,240,16,10,60,70,0x001E,11.7188,0,"NONE",0,"Normal",300,0,0x00,0.0000,1024,8,10,0xB6B0,0x448A,0x0000,0x0000,0xCEDD34,0xC51775
84,"Bombe",200,0,800,-63,0,100,0,0x0000,0.0000,16,"(FLAG_PROJECTILE_ATTACKS_WONT_HIT)",0,"Normal",0,0,0x00,0.0000,1024,10,5,0xB130,0x5D4A,0x0000,0x0000,0xCEDD7E,0xC51947
85,"Raptor",4000,225,400,51,25,75,60,0x003C,23.4375,0,"NONE",0,"Normal",24,48,0x80,100.0000,1024,25,20,0xBDB0,0x4486,0x44A2,0x0000,0xCEDDC8,0xC51642
86,"Todesspinne",6000,325,400,57,0,100,30,0x00C8,78.1250,0,"NONE",0,"Normal",5000,250,0x00,0.0000,1024,30,6,0xBC10,0x4486,0x0000,0x0000,0xCEDE12,0xC516DB
87,"Bastets Auge",6000,175,400,0,0,100,55,0x0032,19.5313,0,"NONE",0,"Normal",1050,0,0x80,100.0000,1024,20,18,0xBD90,0x4486,0x44A2,0x0000,0xCEDE5C,0xC5174B
88,"Schappschapp",10000,175,240,57,40,80,250,0x0064,39.0625,0,"NONE",0,"Normal",5000,20,0x80,100.0000,1024,10,16,0xA850,0x4486,0x44A2,0x4BF6,0xCEDEA6,0xC51A40
89,"Lavarex",25000,170,360,0,9,110,155,0x00AA,66.4063,0,"NONE",0,"Normal",50000,0,0x00,0.0000,1024,15,20,0xBC10,0x4496,0x0000,0x0000,0xCEDEF0,0xC51728
90,"Edgars Roboter",30000,220,360,60,9,110,155,0x00AA,66.4063,0,"NONE",0,"Normal",100000,0,0x00,0.0000,1024,15,20,0xBB30,0x4496,0x0000,0x0000,0xCEDF3A,0xC518E0
