Index,Alchemy Name,Alchemy Description,Spell Might Value,TargetFlags,TargetFlags Description,Ingredient1 Index,Ingredient2 Index,Ingredient1 Name,Ingredient2 Name,Ingredient1 Cost,Ingredient2 Cost,Influence Type,Influence Type Desc,Learned Alchemy Flags (Addresses),Learned Alchemy Flags (Bit weights),[PTR] Behaviour Script,[PTR] Invocation Script,[PTR] Sprite Info,Unknown maybe Sprite related,[PTR] Alchemy Name,[PTR] Alchemy Description
11,"Escape","Escape from a maze",0,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",0,2,"Wax","Vinegar",1,1,-1,"Other",0x2259,0x0008,0x58CE,0x0020,0x0060,0x0002,0xC46841,0xC46A16
12,"Explosion","Destroys barriers",87,0x2010,"Enemies: any enemy single target or multiple",13,20,"Ethanol","Ash",2,1,0,"Direct Attack",0x2259,0x0010,0x58D2,0x0030,0x0076,0x0002,0xC46848,0xC46A29
13,"Fireball","Fiery destruction to target",62,0x2010,"Enemies: any enemy single target or multiple",17,20,"Brimstone","Ash",1,2,0,"Direct Attack",0x2259,0x0020,0x58DA,0x001E,0x006C,0x0002,0xC46852,0xC46A3B
14,"Fire Power","Damages target enemy",112,0x2010,"Enemies: any enemy single target or multiple",12,17,"Feather","Brimstone",1,1,0,"Direct Attack",0x2259,0x0040,0x58D6,0x002A,0x0072,0x0002,0xC4685B,0xC46A57
15,"Flash","Small fireball",27,0x2010,"Enemies: any enemy single target or multiple",0,4,"Wax","Oil",1,2,0,"Direct Attack",0x2259,0x0080,0x58DE,0x0006,0x0052,0x0002,0xC46866,0xC46A6C
16,"Force Field","Protects hero from next attack",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Grease","Iron",1,1,-1,"Other",0x225A,0x0001,0x58E2,0x0042,0x008C,0x0000,0xC4686C,0xC46A7B
17,"Hard Ball","Target gets beaned",21,0x2010,"Enemies: any enemy single target or multiple",15,16,"Crystal","Clay",1,1,0,"Direct Attack",0x225A,0x0002,0x58E6,0x0010,0x0054,0x0002,0xC46878,0xC46A9A
18,"Heal","Recovers some HP",32,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,1,"Root","Water",1,1,2,"Healing",0x225A,0x0004,0x58EA,0x0008,0x004A,0x0000,0xC46887,0xC46AC3
19,"Lance","Sharp projectile",50,0x2010,"Enemies: any enemy single target or multiple",9,21,"Iron","Acorn",1,1,0,"Direct Attack",0x225A,0x0008,0x58EE,0x0026,0x007C,0x0000,0xC46156,0xC46AD4
20,"Laser","Halves target's HP",0,0x2010,"Enemies: any enemy single target or multiple",15,17,"Crystal","Brimstone",1,1,-1,"Other",0x225A,0x0010,0x58F2,0x0002,0x0086,0x0002,0xC46892,0xC46AE5
21,"Levitate","Lifts heavy objects",0,0x0022,"Objects: boulders",1,6,"Water","Mud Pepper",1,1,-1,"Other",0x225A,0x0020,0x58F6,0x000A,0x0048,0x0002,0xC46898,0xC46AF8
22,"Lightning Storm","Bolts of lightning",87,0x2010,"Enemies: any enemy single target or multiple",9,20,"Iron","Ash",1,2,0,"Direct Attack",0x225A,0x0040,0x58FA,0x0032,0x0074,0x0002,0xC468A1,0xC46B0C
23,"Miracle Cure","Dispels states & recovers HP",37,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,2,"Root","Vinegar",2,1,-1,"Other",0x225A,0x0080,0x58FE,0x000E,0x005A,0x0000,0xC468B1,0xC46B1F
24,"Nitro","Big explosion",112,0x2010,"Enemies: any enemy single target or multiple",10,11,"Gunpowder","Grease",1,2,0,"Direct Attack",0x225B,0x0001,0x5902,0x003A,0x0080,0x0002,0xC468C7,0xC46B51
25,"One Up","Restores tartget's HP",0,0x0800,"Allies: only Boy allowed",12,3,"Feather","Root",1,1,-1,"Other",0x225B,0x0002,0x5906,0x002C,0x0070,0x0000,0xC468CD,0xC46B5F
26,"Reflect","Reflects magic",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Grease","Iron",2,1,-1,"Other",0x225B,0x0004,0x590A,0x003C,0x0084,0x0002,0xC468D4,0xC46B75
27,"Regrowth","Gradually regenerates hero's HP",2,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",21,1,"Acorn","Water",1,2,-1,"Other",0x225B,0x0008,0x590E,0x002E,0x007A,0x0002,0xC468DC,0xC46B84
28,"Revealer","Reveals hidden paths",0,0x4002,"Objects: hidden paths",20,0,"Ash","Wax",2,1,-1,"Other",0x225B,0x0010,0x5912,0x001C,0x0058,0x0002,0xC468E5,0xC46BA4
29,"Revive","Brings dog back to life",12,0x1400,"Allies: only dead Dog allowed",3,18,"Root","Bone",3,1,-1,"Other",0x225B,0x0020,0x5916,0x001A,0x005C,0x0000,0xC468EE,0xC46BB9
30,"Slow Burn","Gradually drains target's HP",1,0x2010,"Enemies: any enemy single target or multiple",9,17,"Iron","Brimstone",1,1,-1,"Other",0x225B,0x0040,0x591A,0x0034,0x007E,0x0002,0xC468F5,0xC46BD1
31,"Speed","Raises target's agility",25,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",0,1,"Wax","Water",1,2,-1,"Other",0x225B,0x0080,0x591E,0x000C,0x0050,0x0000,0xC468FF,0xC46BEE
32,"Sting","Stings target enemy",75,0x2010,"Enemies: any enemy single target or multiple",1,2,"Water","Vinegar",2,1,0,"Direct Attack",0x225C,0x0001,0x5922,0x0016,0x0064,0x0002,0xC46916,0xC46C39
33,"Stop","Halts enemy attack",0,0x2010,"Enemies: any enemy single target or multiple",0,15,"Wax","Crystal",2,1,-1,"Other",0x225C,0x0002,0x5926,0x0038,0x0082,0x0000,0xC4691C,0xC46C4D
34,"Super Heal","Restores both hero's HP",62,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",13,21,"Ethanol","Acorn",2,1,2,"Healing",0x225C,0x0004,0x592A,0x0036,0x006E,0x0000,0xC46921,0xC46C60
