Index,Alchemy Name,Alchemy Description,Spell Might Value,TargetFlags,TargetFlags Description,Ingredient1 Index,Ingredient2 Index,Ingredient1 Name,Ingredient2 Name,Ingredient1 Cost,Ingredient2 Cost,Influence Type,Influence Type Desc,Learned Alchemy Flags (Addresses),Learned Alchemy Flags (Bit weights),[PTR] Behaviour Script,[PTR] Invocation Script,[PTR] Sprite Info,Unknown maybe Sprite related,[PTR] Alchemy Name,[PTR] Alchemy Description
10,"Energize","Energizes target hero's attack",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",15,9,"Crystal","Iron",1,1,-1,"Other",0x2259,0x0004,0x5F0A,0x0040,0x008A,0x0000,0xC50EC4,0xC51083
11,"Escape","Escape from a maze",0,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",0,2,"Wax","Vinegar",1,1,-1,"Other",0x2259,0x0008,0x5F0E,0x0020,0x0060,0x0002,0xC50ECD,0xC510A2
12,"Explosion","Destroys barriers",87,0x2010,"Enemies: any enemy single target or multiple",13,20,"Ethanol","Ash",2,1,0,"Direct Attack",0x2259,0x0010,0x5F12,0x0030,0x0076,0x0002,0xC50ED4,0xC510B5
13,"Fireball","Fiery destruction to target",62,0x2010,"Enemies: any enemy single target or multiple",17,20,"Brimstone","Ash",1,2,0,"Direct Attack",0x2259,0x0020,0x5F1A,0x001E,0x006C,0x0002,0xC50EDE,0xC510C7
14,"Fire Power","Damages target enemy",112,0x2010,"Enemies: any enemy single target or multiple",12,17,"Feather","Brimstone",1,1,0,"Direct Attack",0x2259,0x0040,0x5F16,0x002A,0x0072,0x0002,0xC50EE7,0xC510E3
15,"Flash","Small fireball",27,0x2010,"Enemies: any enemy single target or multiple",0,4,"Wax","Oil",1,2,0,"Direct Attack",0x2259,0x0080,0x5F1E,0x0006,0x0052,0x0002,0xC50EF2,0xC510F8
16,"Force Field","Protects hero from next attack",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Grease","Iron",1,1,-1,"Other",0x225A,0x0001,0x5F22,0x0042,0x008C,0x0000,0xC50EF8,0xC51107
17,"Hard Ball","Target gets beaned",21,0x2010,"Enemies: any enemy single target or multiple",15,16,"Crystal","Clay",1,1,0,"Direct Attack",0x225A,0x0002,0x5F26,0x0010,0x0054,0x0002,0xC50F04,0xC51126
18,"Heal","Recovers some HP",32,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,1,"Root","Water",1,1,2,"Healing",0x225A,0x0004,0x5F2A,0x0008,0x004A,0x0000,0xC50F13,0xC5114F
19,"Lance","Sharp projectile",50,0x2010,"Enemies: any enemy single target or multiple",9,21,"Iron","Acorn",1,1,0,"Direct Attack",0x225A,0x0008,0x5F2E,0x0026,0x007C,0x0000,0xC50F18,0xC51160
20,"Laser","Halves target's HP",0,0x2010,"Enemies: any enemy single target or multiple",15,17,"Crystal","Brimstone",1,1,-1,"Other",0x225A,0x0010,0x5F32,0x0002,0x0086,0x0002,0xC50F1E,0xC51171
21,"Levitate","Lifts heavy objects",0,0x0022,"Objects: boulders",1,6,"Water","Mud Pepper",1,1,-1,"Other",0x225A,0x0020,0x5F36,0x000A,0x0048,0x0002,0xC50F24,0xC51184
22,"Lightning Storm","Bolts of lightning",87,0x2010,"Enemies: any enemy single target or multiple",9,20,"Iron","Ash",1,2,0,"Direct Attack",0x225A,0x0040,0x5F3A,0x0032,0x0074,0x0002,0xC50F2D,0xC51198
23,"Miracle Cure","Dispels states & recovers HP",37,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,2,"Root","Vinegar",2,1,-1,"Other",0x225A,0x0080,0x5F3E,0x000E,0x005A,0x0000,0xC50F3D,0xC511AB
24,"Nitro","Big explosion",112,0x2010,"Enemies: any enemy single target or multiple",10,11,"Gunpowder","Grease",1,2,0,"Direct Attack",0x225B,0x0001,0x5F42,0x003A,0x0080,0x0002,0xC50F53,0xC511DD
25,"One Up","Restores tartget's HP",0,0x0800,"Allies: only Boy allowed",12,3,"Feather","Root",1,1,-1,"Other",0x225B,0x0002,0x5F46,0x002C,0x0070,0x0000,0xC50F59,0xC511EB
26,"Reflect","Reflects magic",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Grease","Iron",2,1,-1,"Other",0x225B,0x0004,0x5F4A,0x003C,0x0084,0x0002,0xC50F60,0xC51201
27,"Regrowth","Gradually regenerates hero's HP",2,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",21,1,"Acorn","Water",1,2,-1,"Other",0x225B,0x0008,0x5F4E,0x002E,0x007A,0x0002,0xC50F68,0xC51210
28,"Revealer","Reveals hidden paths",0,0x4002,"Objects: hidden paths",20,0,"Ash","Wax",2,1,-1,"Other",0x225B,0x0010,0x5F52,0x001C,0x0058,0x0002,0xC50F71,0xC51230
29,"Revive","Brings dog back to life",12,0x1400,"Allies: only dead Dog allowed",3,18,"Root","Bone",3,1,-1,"Other",0x225B,0x0020,0x5F56,0x001A,0x005C,0x0000,0xC50F7A,0xC51245
30,"Slow Burn","Gradually drains target's HP",1,0x2010,"Enemies: any enemy single target or multiple",9,17,"Iron","Brimstone",1,1,-1,"Other",0x225B,0x0040,0x5F5A,0x0034,0x007E,0x0002,0xC50F81,0xC5125D
31,"Speed","Raises target's agility",25,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",0,1,"Wax","Water",1,2,-1,"Other",0x225B,0x0080,0x5F5E,0x000C,0x0050,0x0000,0xC50F8B,0xC5127A
32,"Sting","Stings target enemy",75,0x2010,"Enemies: any enemy single target or multiple",1,2,"Water","Vinegar",2,1,0,"Direct Attack",0x225C,0x0001,0x5F62,0x0016,0x0064,0x0002,0xC50FA2,0xC512C5
33,"Stop","Halts enemy attack",0,0x2010,"Enemies: any enemy single target or multiple",0,15,"Wax","Crystal",2,1,-1,"Other",0x225C,0x0002,0x5F66,0x0038,0x0082,0x0000,0xC50FA8,0xC512D9
34,"Super Heal","Restores both hero's HP",62,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",13,21,"Ethanol","Acorn",2,1,2,"Healing",0x225C,0x0004,0x5F6A,0x0036,0x006E,0x0000,0xC50FAD,0xC512EC
