Index,NPC Name,HP,Attack,Defense,Magic Defense,Evade,Hit,Aggresion Range,Aggresion Chance Code,Aggresion Chance (%),Unique Trait Flags,Unique Trait Flags Desc,Attack Properties,Attack Properties Desc,Experience,Money,Chanze Prize Drop Code,Chanze Prize Drop (%),Chargeup limit,Chargeup gain per frame,Unknown maybe collision related,Palette,Death Script - NoSpoils,Death Script - Spoils,Block Script,[PTR] NPC Stats,[PTR] NPC Name
19,"Robochacha",600,85,160,57,7,25,55,0x0032,19.5313,0,"NONE",0,"Normal",600,280,0x00,0.0000,1024,8,10,0xB772,0x4486,0x44A2,0x0000,0xCECAB4,0xC418A8
20,"Ignis",3800,20,80,32,10,25,55,0x0032,19.5313,0,"NONE",0,"Normal",3000,1200,0x00,0.0000,1024,8,40,0x0000,0x4486,0x0000,0x0000,0xCECAFE,0xC41872
21,"Tentáculo",400,52,160,12,10,40,100,0x0014,7.8125,0,"NONE",0,"Normal",500,0,0x00,0.0000,1024,8,10,0xB6B2,0x448A,0x0000,0x0000,0xCECB48,0xC4182C
22,"Minitentáculo",200,32,160,16,10,60,70,0x001E,11.7188,0,"NONE",0,"Normal",300,0,0x00,0.0000,1024,8,10,0xB6B2,0x448A,0x0000,0x0000,0xCECB92,0xC41836
23,"Octopus",2500,0,0,22,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",5000,0,0x00,0.0000,1024,8,10,0xB6B2,0x4496,0x0000,0x0000,0xCECBDC,0xC41824
24,"(unnamed)",1,32,0,0,25,35,32,0x000A,3.9063,0,"NONE",0,"Normal",100,0,0x00,0.0000,1024,8,5,0xC192,0x4486,0x0000,0x0000,0xCECC26,0x000000
25,"Dragón Maligno",2000,86,120,0,15,30,55,0x0032,19.5313,0,"NONE",0,"Normal",2200,2000,0x00,0.0000,1024,8,20,0xC652,0x4496,0x0000,0x0000,0xCECC70,0xC4185E
26,"Dragonius",3200,71,160,0,10,25,40,0x0032,19.5313,0,"NONE",0,"Normal",3300,2000,0x00,0.0000,1024,15,20,0xC632,0x4486,0x0000,0x0000,0xCECCBA,0xC41854
27,"Yelmo Negro",2400,55,200,51,10,70,55,0x0032,19.5313,0,"NONE",0,"Normal",850,200,0x08,6.2500,1024,10,14,0xB732,0x4496,0x0000,0x0000,0xCECD04,0xC41882
28,"Verminator",3425,0,0,0,10,25,0,0x0000,0.0000,0,"NONE",0,"Normal",1050,1000,0x00,0.0000,1024,8,20,0xC612,0x4496,0x0000,0x0000,0xCECD4E,0xC41849
29,"Rata",20,30,120,38,0,25,55,0x0032,19.5313,0,"NONE",22,"If hits, 1/8 chance of inflicting Plague",30,10,0x08,6.2500,1024,6,10,0xC612,0x448E,0x44A6,0x0000,0xCECD98,0xC41844
30,"Rata",20,35,120,38,0,25,55,0x0032,19.5313,0,"NONE",22,"If hits, 1/8 chance of inflicting Plague",30,10,0x08,6.2500,1024,8,10,0xBD72,0x448E,0x44A6,0x0000,0xCECDE2,0xC41844
31,"Vigor",1050,53,100,51,0,100,55,0x0032,19.5313,0,"NONE",0,"Normal",1050,1000,0x00,0.0000,1024,10,11,0xB5B2,0x4496,0x0000,0x0000,0xCECE2C,0xC4181E
32,"Dios Rimsala",1,0,0,0,0,0,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,0,0xB572,0x4486,0x0000,0x0000,0xCECE76,0xC41802
33,"Dios Rimsala",1200,40,80,16,0,60,55,0x0032,19.5313,0,"NONE",0,"Normal",1200,1000,0x00,0.0000,1024,20,18,0xB572,0x4486,0x0000,0x0000,0xCECEC0,0xC41802
34,"Dios Rimsala",3000,145,80,16,0,60,55,0x0032,19.5313,0,"NONE",0,"Normal",3000,1000,0x00,0.0000,1024,20,18,0xBD92,0x4486,0x0000,0x0000,0xCECF0A,0xC41802
35,"Luz Errante",40,13,40,0,8,35,55,0x0032,19.5313,0,"NONE",0,"Normal",4,4,0x00,0.0000,1024,4,8,0xB4B2,0x4486,0x0000,0x0000,0xCECF54,0xC417F6
36,"Tiranosaurio",1000,37,40,41,5,100,155,0x0046,27.3438,0,"NONE",0,"Normal",500,900,0x00,0.0000,1024,5,20,0xB672,0x4486,0x0000,0x0000,0xCECF9E,0xC417DF
37,"Megatauro",2600,70,120,0,5,100,155,0x0046,27.3438,0,"NONE",0,"Normal",2500,3000,0x00,0.0000,1024,10,20,0xBAF2,0x4486,0x0000,0x0000,0xCECFE8,0xC417EC
38,"Raptor",50,27,48,38,10,75,60,0x003C,23.4375,0,"NONE",0,"Normal",24,48,0x08,6.2500,1024,7,20,0xB532,0x4486,0x449E,0x0000,0xCED032,0xC416E2
39,"Raptor",300,80,48,38,25,75,60,0x003C,23.4375,0,"NONE",0,"Normal",290,48,0x08,6.2500,1024,7,20,0xBC92,0x4486,0x449E,0x0000,0xCED07C,0xC416E2
40,"Megalagarto",250,30,92,16,15,70,55,0x0032,19.5313,0,"NONE",0,"Normal",160,200,0x08,6.2500,1024,5,10,0xB512,0x4486,0x449E,0x0000,0xCED0C6,0xC4170C
41,"Lagarto",125,25,80,16,15,60,55,0x0032,19.5313,0,"NONE",0,"Normal",80,50,0x08,6.2500,1024,5,10,0xB4F2,0x4486,0x449E,0x0000,0xCED110,0xC41704
42,"Forzudo",200,53,40,48,10,50,45,0x0032,19.5313,0,"NONE",0,"Normal",100,10,0x08,6.2500,1024,20,10,0xB392,0x4486,0x449E,0x0000,0xCED15A,0xC417B3
43,"Monje Loco",60,28,80,16,15,50,45,0x0032,19.5313,0,"NONE",28,"If hits, 1/8 chance of inflicting Plague, 1/8 chance of inflicting Confound, 3/4 chance of inflicting nothing",20,75,0x08,6.2500,1024,20,10,0xB3B2,0x4486,0x449E,0x0000,0xCED1A4,0xC417BB
44,"Hijo de Set",160,36,80,16,10,50,50,0x0032,19.5313,0,"NONE",18,"If hits, 1/4 chance of inflicting Poison",120,40,0x08,6.2500,1024,20,10,0xB1F2,0x4486,0x449E,0x0000,0xCED1EE,0xC4179A
45,"Hijo de Anur",200,41,120,32,10,50,55,0x0032,19.5313,0,"NONE",0,"Normal",250,250,0x08,6.2500,1024,20,10,0xB2F2,0x4486,0x449E,0x0000,0xCED238,0xC417A6
46,"Minitauro",500,56,76,48,5,60,80,0x0001,0.3906,0,"NONE",0,"Normal",1000,10,0x08,6.2500,1024,7,10,0xB332,0x4486,0x449E,0x0000,0xCED282,0xC417D5
47,"Esquelecaracol",30,14,56,0,10,50,55,0x0032,19.5313,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",20,15,0x08,6.2500,1024,20,10,0xB3D2,0x4486,0x44A2,0x0000,0xCED2CC,0xC417C6
48,"Sapopótamo",40,18,60,32,15,50,30,0x0032,19.5313,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",12,19,0x08,6.2500,1024,14,6,0xB252,0x448E,0x44A6,0x0000,0xCED316,0xC4175B
49,"Viuda Negra",40,14,48,38,0,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",40,12,0x08,6.2500,1024,8,6,0xB412,0x448E,0x44A6,0x0000,0xCED360,0xC41766
50,"Viuda del Desierto",74,33,48,48,15,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",72,18,0x08,6.2500,1024,12,6,0xB452,0x448E,0x44A6,0x0000,0xCED3AA,0xC41772
51,"Carcoma",160,47,160,48,0,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",180,30,0x08,6.2500,1024,8,6,0xB432,0x448E,0x44A6,0x0000,0xCED3F4,0xC41792
52,"Calavera Mortal",40,28,80,-63,0,60,80,0x0032,19.5313,0,"NONE",0,"Normal",300,40,0x08,6.2500,1024,14,14,0xBD12,0x448E,0x449E,0x0000,0xCED43E,0xC4169E
53,"Calavera Voladora",90,47,80,-63,0,60,80,0x0032,19.5313,0,"NONE",0,"Normal",400,50,0x08,6.2500,1024,14,14,0xBD12,0x448E,0x449E,0x0000,0xCED488,0xC4167A
54,"Calavera Negra",50,18,32,0,15,50,70,0x0004,1.5625,3,"(FLAG01_TARSKULL_SALABOG)+ (FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",22,17,0x00,0.0000,1024,10,8,0xB4D2,0x4486,0x0000,0x0000,0xCED4D2,0xC416AE
55,"Cenagosus",2000,32,80,32,9,100,90,0x0003,1.1719,3,"(FLAG01_TARSKULL_SALABOG)+ (FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",700,66,0x00,0.0000,1024,20,30,0xB472,0x4486,0x0000,0x0000,0xCED51C,0xC416BD
56,"Flor Mortal",10000,2125,2400,63,0,100,96,0x0100,100.0000,0,"NONE",12,"If hits, don't do normal damage, but grab and do a few rounds of periodic damage",600,100,0x08,6.2500,1024,100,14,0xBCB2,0x4492,0x449A,0x0000,0xCED566,0xC41A1C
57,"Flor Carnívora",30,17,48,32,0,60,70,0x0005,1.9531,0,"NONE",12,"If hits, don't do normal damage, but grab and do a few rounds of periodic damage",6,7,0x08,6.2500,1024,5,14,0xB1D2,0x4492,0x449A,0x0000,0xCED5B0,0xC416C7
58,"Flor Babosa",18,9,28,32,0,40,70,0x0005,1.9531,0,"NONE",0,"Normal",2,2,0x08,6.2500,1024,15,14,0xB1B2,0x4492,0x449A,0x0000,0xCED5FA,0xC416D6
59,"Raptor",40,11,32,38,15,100,60,0x003C,23.4375,0,"NONE",0,"Normal",16,29,0x00,0.0000,1024,20,20,0xB372,0x4486,0x449E,0x0000,0xCED644,0xC416E2
60,"Larva Roja",150,88,12,16,15,50,32,0x0014,7.8125,0,"NONE",0,"Normal",85,10,0x08,6.2500,1024,10,12,0xB772,0x448A,0x44A6,0x0000,0xCED68E,0xC416F0
61,"Gusano",30,12,12,16,10,60,32,0x0014,7.8125,0,"NONE",0,"Normal",4,4,0x08,6.2500,1024,10,12,0xB312,0x448A,0x44A6,0x0000,0xCED6D8,0xC416E9
62,"Mosquito",1,2,0,0,30,60,20,0x0028,15.6250,0,"NONE",14,"Don't attempt attack if Insect Incense possessed",1,1,0x04,3.1250,1024,10,6,0xB352,0x448E,0x44A6,0x0000,0xCED722,0xC416FB
63,"Mosquito",1,175,0,0,30,60,20,0x0028,15.6250,0,"NONE",14,"Don't attempt attack if Insect Incense possessed",1,1,0x04,3.1250,1024,10,6,0xBC12,0x448E,0x44A6,0x0000,0xCED76C,0xC416FB
64,"Titiritero",5000,0,160,13,0,25,0,0x0000,0.0000,0,"NONE",0,"Normal",8000,0,0x00,0.0000,1024,8,32,0x0000,0x44BE,0x0000,0x0000,0xCED7B6,0xC419FD
65,"Diablillo",500,78,100,0,10,60,50,0x0040,25.0000,0,"NONE",0,"Normal",1000,250,0x00,0.0000,2048,20,20,0xAF72,0x4486,0x0000,0x0000,0xCED800,0xC419EB
66,"Mefista",500,78,0,0,10,60,50,0x0040,25.0000,0,"NONE",0,"Normal",1000,250,0x00,0.0000,3072,20,20,0xAF92,0x4486,0x0000,0x0000,0xCED84A,0xC419F5
67,"Corazón de Trax",600,0,0,0,0,0,150,0x0014,7.8125,0,"NONE",0,"Normal",500,750,0x00,0.0000,1024,10,15,0xB192,0x448E,0x0000,0x0000,0xCED894,0xC41734
68,"Corazón del Coleóptero",6000,0,0,0,0,0,150,0x0014,7.8125,0,"NONE",0,"Normal",10000,4000,0x00,0.0000,1024,10,15,0xB192,0x448E,0x0000,0x0000,0xCED8DE,0xC41744
69,"Pata Derecha",2250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",4166,400,0x00,0.0000,1024,30,24,0xB172,0x448A,0x0000,0x0000,0xCED928,0xC41718
70,"Pata Izquierda",2500,175,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",4166,400,0x00,0.0000,1024,30,24,0xB172,0x448A,0x0000,0x0000,0xCED972,0xC41725
71,"Pata Derecha",250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",250,150,0x00,0.0000,1024,30,24,0xB152,0x448A,0x0000,0x0000,0xCED9BC,0xC41718
72,"Pata Izquierda",250,17,32,0,0,50,150,0x0014,7.8125,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",250,150,0x00,0.0000,1024,30,24,0xB152,0x448A,0x0000,0x0000,0xCEDA06,0xC41725
73,"La Cara",4000,0,800,0,0,2000,0,0x0000,0.0000,0,"NONE",0,"Normal",4000,2000,0x00,0.0000,1024,10,5,0x0000,0x4486,0x0000,0x0000,0xCEDA50,0xC419AD
74,"Gargon",300,55,160,0,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",150,60,0x08,6.2500,1024,8,10,0xBCD2,0x4486,0x44A2,0x0000,0xCEDA9A,0xC41A28
75,"Draguillo",300,88,160,0,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",150,60,0x08,6.2500,1024,8,10,0xBCD2,0x4486,0x44A2,0x0000,0xCEDAE4,0xC41A2F
76,"Ventilador Flotante",700,101,300,48,15,50,55,0x0032,19.5313,0,"NONE",0,"Normal",300,10,0x00,0.0000,1024,8,8,0xBC52,0x4486,0x0000,0x0000,0xCEDB2E,0xC41A08
77,"Esferotrón",1000,101,80,64,15,50,200,0x0100,100.0000,0,"NONE",0,"Normal",70,10,0x80,100.0000,1024,20,8,0xC6B2,0x4486,0x5AF6,0x0000,0xCEDB78,0xC419E0
78,"Ventilador",2500,0,1400,57,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,16,0x0000,0x4486,0x0000,0x0000,0xCEDBC2,0xC419B5
79,"Altavoz",1004,0,1400,57,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,16,0x0000,0x4486,0x0000,0x0000,0xCEDC0C,0xC419C0
80,"Rata",20,35,120,38,0,25,55,0x0032,19.5313,0,"NONE",0,"Normal",30,10,0x08,6.2500,1024,8,10,0xBD72,0x448E,0x44A6,0x0000,0xCEDC56,0xC41844
81,"Robochacha",600,85,160,57,7,25,55,0x0032,19.5313,0,"NONE",0,"Normal",50,280,0x08,6.2500,1024,8,10,0xB772,0x4486,0x44A2,0x0000,0xCEDCA0,0xC418A8
82,"Tentáculo",400,105,280,12,10,40,100,0x0014,7.8125,0,"NONE",0,"Normal",500,0,0x00,0.0000,1024,8,10,0xB6B2,0x448A,0x0000,0x0000,0xCEDCEA,0xC4182C
83,"Minitentáculo",200,85,240,16,10,60,70,0x001E,11.7188,0,"NONE",0,"Normal",300,0,0x00,0.0000,1024,8,10,0xB6B2,0x448A,0x0000,0x0000,0xCEDD34,0xC41836
84,"Bomba",200,0,800,-63,0,100,0,0x0000,0.0000,16,"(FLAG_PROJECTILE_ATTACKS_WONT_HIT)",0,"Normal",0,0,0x00,0.0000,1024,10,5,0xB132,0x5D4A,0x0000,0x0000,0xCEDD7E,0xC419C8
85,"Raptor",4000,225,400,51,25,75,60,0x003C,23.4375,0,"NONE",0,"Normal",24,48,0x80,100.0000,1024,25,20,0xBDB2,0x4486,0x44A2,0x0000,0xCEDDC8,0xC416E2
86,"Viuda Mortal",6000,325,400,57,0,100,30,0x00C8,78.1250,0,"NONE",0,"Normal",5000,250,0x00,0.0000,1024,30,6,0xBC12,0x4486,0x0000,0x0000,0xCEDE12,0xC41785
87,"Ojo de Rimsala",6000,175,400,0,0,100,55,0x0032,19.5313,0,"NONE",0,"Normal",1050,0,0x80,100.0000,1024,20,18,0xBD92,0x4486,0x44A2,0x0000,0xCEDE5C,0xC4180F
88,"Sombra de Roboperro",10000,175,240,57,40,80,250,0x0064,39.0625,0,"NONE",0,"Normal",5000,20,0x80,100.0000,1024,10,16,0xA852,0x4486,0x44A2,0x4BF6,0xCEDEA6,0xC41ACC
89,"Tiranosaurio",25000,170,360,0,9,110,155,0x00AA,66.4063,0,"NONE",0,"Normal",50000,0,0x00,0.0000,1024,15,20,0xBC12,0x4496,0x0000,0x0000,0xCEDEF0,0xC417DF
90,"Robot de Sebastrón",30000,220,360,60,9,110,155,0x00AA,66.4063,0,"NONE",0,"Normal",100000,0,0x00,0.0000,1024,15,20,0xBB32,0x4496,0x0000,0x0000,0xCEDF3A,0xC41960
